dataset,task,model,seed,n_features,n_train,n_val,n_test,pos_train,pos_val,pos_test,pos_rate_train,pos_rate_val,pos_rate_test,val_auc,val_ap,test_auc,test_ap,val_brier,test_brier,val_ece,test_ece,val_best_threshold,val_best_f1,test_f1_at_val_threshold,test_precision_at_val_threshold,test_recall_at_val_threshold,test_specificity_at_val_threshold,test_balanced_accuracy_at_val_threshold,test_mcc_at_val_threshold,test_tp,test_fp,test_tn,test_fn,top1pct_precision,top1pct_recall,top1pct_n,top2pct_precision,top2pct_recall,top2pct_n,top5pct_precision,top5pct_recall,top5pct_n,top10pct_precision,top10pct_recall,top10pct_n,top15pct_precision,top15pct_recall,top15pct_n,top20pct_precision,top20pct_recall,top20pct_n,auc_ci_low,auc_ci_high,auc_boot_sd,ap_ci_low,ap_ci_high,ap_boot_sd,n_boot_effective,best_iteration
PBMC,cell,rf,42,397,253475,35400,72620,119180,16852,34520,0.4701844363349443,0.476045197740113,0.47535114293583036,0.6094901842684675,0.6636354326745,0.631432002217133,0.6646104931725149,0.2223666023374702,0.22073674461166304,0.06374460914452404,0.03540433403106301,0.30819250000000004,0.661394454365274,0.6589784248714623,0.49306104839289566,0.9931923522595597,0.07480314960629922,0.5339977509329294,0.1683638124011942,34285,35250,2850,235,1.0,0.021060254924681346,727,1.0,0.04209154113557358,1453,0.9961443128614706,0.10477983777520278,3631,0.9482236298540347,0.19947856315179607,7262,0.7999632791701092,0.252433371958285,10893,0.6980859267419444,0.29371378910776363,14524,0.5775373164902683,0.6840297930663763,0.027292415181211695,0.5942595120900009,0.7268166444082353,0.03476153970101527,1000,
PBMC,cell,lgb,42,397,253475,35400,72620,119180,16852,34520,0.4701844363349443,0.476045197740113,0.47535114293583036,0.5937257319056346,0.6352794057394127,0.6060778342198825,0.6320609603361604,0.23901109795133949,0.2356558185840832,0.08667405455754908,0.06365232692069939,0.182818,0.6495654017383931,0.6500627364409098,0.4820017067950027,0.9980590961761298,0.028188976377952757,0.5131240362770413,0.10540549278209928,34453,37026,1074,67,0.9931224209078404,0.020915411355735804,727,0.9862353750860289,0.04151216685979143,1453,0.96695125309832,0.10170915411355735,3631,0.8556871385293308,0.18001158748551566,7262,0.7030202882585146,0.22184241019698725,10893,0.6488570641696503,0.2730011587485516,14524,0.5535830498865609,0.66144164492847,0.02829973954373889,0.558611616612556,0.7001756083830806,0.03807252226822613,1000,130.0
PBMC,cell,rf,43,397,251315,37095,73085,118417,17568,34567,0.4711895430038,0.47359482410028303,0.47296982965040707,0.5575975066236344,0.5984731408894531,0.5870323868885411,0.6157777804637963,0.2340437221721458,0.23011971835296918,0.06868136898752092,0.03259944094733109,0.29970100000000005,0.6528056484578224,0.6558413127486628,0.48871551173842115,0.9966731275493969,0.06425567267251675,0.5304644001109569,0.16453424248974555,34452,36043,2475,115,1.0,0.021147337055573236,731,1.0,0.04229467411114647,1462,0.9948016415868673,0.10518702809037521,3655,0.797509919277603,0.1686290392570949,7309,0.7140381282495667,0.22645876124627534,10963,0.6401450366012178,0.2706917001764689,14617,0.5316907908401842,0.6365085513051407,0.027456764289982474,0.5451003469846625,0.6781484941202665,0.03408908751091231,1000,
PBMC,cell,lgb,43,397,251315,37095,73085,118417,17568,34567,0.4711895430038,0.47359482410028303,0.47296982965040707,0.5909919892922069,0.5764938539290215,0.5505986264439094,0.5545629034266999,0.24852127918666955,0.24949467596221397,0.05032231136707494,0.04966791871286438,0.47452600000000006,0.6470956572986114,0.6387416813351281,0.473405888098228,0.9815430902305667,0.020172386935977983,0.5008577385832723,0.006215852910273055,33929,37741,777,638,0.8645690834473324,0.018283333815488762,731,0.8515731874145007,0.03601701044348656,1462,0.7682626538987688,0.08123354644603234,3655,0.6637022848542893,0.1403361587641392,7309,0.6309404360120405,0.20010414557236672,10963,0.5839775603749059,0.24694072381172794,14617,0.4991206606439803,0.6050952618241638,0.026584412768437128,0.47981394435501057,0.6341398956350399,0.038673060313394236,1000,5.0
PBMC,cell,rf,44,397,252615,37015,71865,119456,17203,33893,0.47287769926568096,0.4647575307307848,0.47162039935991096,0.598192916924291,0.6241012286665856,0.6110766465376882,0.6423989706309705,0.22424942627751818,0.22760729555385398,0.04528135321352298,0.025568574100478254,0.298702,0.6501637048392286,0.6488319301169506,0.4803573961140264,0.9993213937981295,0.035078478879174126,0.5171999363386518,0.1262549958932566,33870,36640,1332,23,1.0,0.021213819962824183,719,1.0,0.04242763992564837,1438,0.9988870339454646,0.10592157672675774,3594,0.8760261583414498,0.1857610716077066,7187,0.738404452690167,0.23485675508217035,10780,0.6584568287761775,0.2792316997610126,14373,0.555145265092053,0.6671621676139452,0.02856888976236723,0.5567893086292874,0.7126918878999423,0.03977243990850165,1000,
PBMC,cell,lgb,44,397,252615,37015,71865,119456,17203,33893,0.47287769926568096,0.4647575307307848,0.47162039935991096,0.6383318399606303,0.6348936206633493,0.5798403367711056,0.5998357883216741,0.23149536809454863,0.24095051527101088,0.050378425497090956,0.06453715253724848,0.348652,0.6485942998569163,0.6285246663501076,0.4779068338249754,0.9177706311037678,0.10507742547139998,0.5114240282875839,0.039027146719739544,31106,33982,3990,2787,0.9916550764951322,0.021036792257988376,719,0.9895688456189151,0.041985070663558846,1438,0.9385086254869226,0.09951907473519606,3594,0.7565048003339363,0.1604166051987136,7187,0.6558441558441559,0.20859764553152568,10780,0.6237389549850414,0.264508895642168,14373,0.5218842409912547,0.6389912787150717,0.03092638176005646,0.5092690331544599,0.6861641598631143,0.04624697506238577,1000,69.0
PBMC,cell,rf,45,397,250855,37250,73390,118471,17590,34491,0.4722688405652668,0.4722147651006711,0.46996866058046055,0.590944333950033,0.6157609697386559,0.627865014890609,0.6730802346089506,0.22723998995680414,0.21597634778486527,0.04397697084507606,0.049866865191324924,0.318682,0.6604046514249216,0.6509562256901847,0.4843480229826498,0.9922878432054739,0.063292115478547,0.5277899793420104,0.14663079368491422,34225,36437,2462,266,1.0,0.02128091386158708,734,1.0,0.04256182772317416,1468,1.0,0.1064045693079354,3670,0.9926420493255211,0.21121451972978458,7339,0.8474884185666273,0.2705053492215361,11009,0.7517372939092519,0.31990954161955293,14678,0.5716010360155576,0.6828835140652505,0.029431919860848317,0.5859280429835645,0.7434875805588111,0.0403935304594265,1000,
PBMC,cell,lgb,45,397,250855,37250,73390,118471,17590,34491,0.4722688405652668,0.4722147651006711,0.46996866058046055,0.5891845150966083,0.6018905925737599,0.5919233764787328,0.6397111505219303,0.2430894377861336,0.24203164302613472,0.08291103194775822,0.11160001818330127,0.2632375,0.6598420590816029,0.6194459489278048,0.47353974022787565,0.8953060218607752,0.11743232473842516,0.5063691732996002,0.02020340820671772,30880,34331,4568,3611,1.0,0.02128091386158708,734,1.0,0.04256182772317416,1468,0.9926430517711171,0.10562175640022035,3670,0.9403188445292274,0.2000811805978371,7339,0.7798165137614679,0.24890551158273172,11009,0.6787709497206704,0.28885796294685573,14678,0.530984196903803,0.652978706841496,0.031051389008528316,0.5443954931336782,0.7184892820183074,0.04415444632523575,1000,203.0
PBMC,cell,rf,46,397,253375,35620,72500,119434,16947,34171,0.4713724716329551,0.47577203818079733,0.4713241379310345,0.5527160667875339,0.580047993956355,0.6331348321178849,0.6497254776078983,0.23751358976039688,0.22280215035576975,0.04598458707473765,0.04295960622831888,0.2992015,0.6565243512471172,0.6610336817653891,0.4938466210646575,0.9993561792162945,0.08685329645959979,0.5431047378379471,0.2049592043208519,34149,35000,3329,22,1.0,0.02121682128120336,725,1.0,0.04243364256240672,1450,0.9980689655172413,0.10587925433847414,3625,0.8456551724137931,0.1794211465862866,7250,0.7630344827586207,0.24283749378127653,10875,0.6785517241379311,0.28793421322173773,14500,0.5807159997961263,0.6840077608826818,0.026820168288364265,0.576176725774828,0.7181558562677182,0.0371044392780109,1000,
PBMC,cell,lgb,46,397,253375,35620,72500,119434,16947,34171,0.4713724716329551,0.47577203818079733,0.4713241379310345,0.5395700484508311,0.5361300240015751,0.5819010794414314,0.5918244226745424,0.24740484961767847,0.2423979583329323,0.05655461734651811,0.057814887640166485,0.39260800000000007,0.6521347434390913,0.6306812580104506,0.47554974055516736,0.9360276257645371,0.07970466226616922,0.5078661440153531,0.030325096720820097,31985,35274,3055,2186,0.9668965517241379,0.020514471335342836,725,0.9724137931034482,0.04126305931930584,1450,0.8728275862068966,0.09259313452927921,3625,0.7457931034482759,0.1582335898861608,7250,0.6491954022988505,0.20660794240730443,10875,0.6084137931034482,0.25817213426589797,14500,0.5283532634473295,0.6366140516795311,0.0275753835603498,0.5085559527091376,0.6781397110846399,0.04372782602255822,1000,30.0
