cell_type,n_runs,spearman_mean,spearman_std,pearson_mean,pearson_std,rmse_mean,rmse_std,mae_mean,mae_std
ASC1,5,0.7648884484935634,0.005153365537955704,0.9513512448372362,0.017192314298907132,0.681341368900275,0.10996445530467733,0.305325607874624,0.06556211455457787
ASC2,5,0.5828497104462764,0.04181233341692905,0.9014800541257578,0.01891793724092798,0.8783451478903233,0.07741550645549511,0.32508181571827405,0.049121253815096695
ENDO,5,0.7260984406429933,0.06007999196336203,0.9329429488121498,0.02848164797023695,0.8319436815399006,0.1552133100629975,0.32997109007653,0.08572112128647648
EXC1,5,0.6027241112812185,0.025247450808717455,0.8806023076227458,0.03628384107994249,0.8968904055591587,0.12259492930918026,0.37258934445847347,0.08312492415844834
EXC2,5,0.6583376084540562,0.021354667595638668,0.8785942877154612,0.03196454123379374,0.9288683181669501,0.1176075313218169,0.4129176590628433,0.07575462154384363
INH,5,0.7812922477481057,0.036991423439045476,0.9402702984830146,0.010888874526953543,0.8745717925253341,0.08286330899373595,0.3579940632046735,0.04113495298668913
MGC,5,0.7355304960860087,0.04257791750856814,0.8910406228157685,0.03171851869441209,1.0153310116231906,0.1411707809921424,0.42671498195062163,0.09238689327341822
ODC1,5,0.7320224095011933,0.027603735552807807,0.9557511568729063,0.012215623270629358,0.6765559941638274,0.09306424046640793,0.2745275282192153,0.05405489608819775
ODC2,5,0.6169380753786886,0.03126057652116924,0.906456520071963,0.01626722642240453,0.8093438075473929,0.06444543693682687,0.28178238451190585,0.04929396647046574
ODC3,5,0.8443186076235187,0.003601141831615307,0.9649921390760129,0.018415891300983398,0.652608871522341,0.17189274033513993,0.35029038463740847,0.09342742537831585
OPC,5,0.7176180548566938,0.020012174431274527,0.9294405296697097,0.02982590634508159,0.7891995813547161,0.15488003110376003,0.296897548231153,0.08526637142918879
